ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
540	MARIPAN	torino	D	D		10	13	6,08	5,5	5,88	5,5	2,5	0
143	MARTIN	genoa	D	E		12	11	6,36	7,4	6	6,5	4	4,5
393	MARUSIC	lazio	D	E		11	13	5,96	5,9	5,92	5,9	0,5	0
541	MASINA	torino	D	D		4	5	5,5	5,5	5,3	5,5	1	1
251	MAZZOCCHI	napoli	D	E		2	1	6	6	6	6	0	0
4929	MBAMBI	pisa	D	D		1							
84	MINA	cagliari	D	D		10	10	6,15	5,5	5,9	5,67	2,5	-0,5
44	MIRANDA	bologna	D	E		12	11	6,23	6,8	6,09	6,3	1,5	2,5
611	MIRANDA KE.		D	D	*	4							
612	MISSORI		D	E	*	6							
220	MONTERO		D	D	*	2							
367	MORENO	como	D	E		8	3	7,17	10	6,33	7	2,5	2,5
496	MORETTI		D	D	*	2							
613	MUHAREMOVIC	sassuolo	D	D		11	11	6,32	7	6,18	6,3	1,5	3,5
1084	MULLEN		D	D	*	3							
327	N'DICKA	roma	D	D		9	14	5,82	5,8	5,93	5,9	-1,5	-0,5
542	N'GUESSAN		D	D	*	1							
1674	NDABA	lecce	D	E		3	2	5,75		5,75	-1	0	0
497	NDIAYE		D	D	*	5							
3894	NDIAYE NI.	parma	D	D		3	7	5,29	5,25	5,57	5,25	-2	-2
4304	NELSSON	verona	D	D		8	14	5,75	5,9	5,86	6	-1,5	-0,5
4409	NKOUNKOU	torino	D	E		8	5	5,9	5,25	5,8	5,25	0,5	0,5
144	NORTON-CUFFY	genoa	D	D		10	13	6,08	6,75	5,92	6,25	2	2
1464	NUNEZ	verona	D	D		7	11	5,73	5,67	5,86	5,83	-1,5	-1
395	NUNO TAVARES	lazio	D	E		7	9	5,67	5,5	5,72	5,75	-0,5	-0,5
252	OBARETIN		D	D	*	1							
79	OBERT	cagliari	D	D		8	12	5,75	5,83	5,92	6	-2	-0,5
614	ODENTHAL	sassuolo	D	D		1							
4466	ODOGU	milan	D	D		2							
253	OLIVERA	napoli	D	E		7	9	5,56	5,67	5,67	5,83	-1	-1
300	OSORIO		D	D	*	7							
