ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		16	23	5,15	4,6	6,37	6,4	-28	-9
6025	BIJLOW	genoa	P	P		13	6	4,75	4,8	6,42	6,4	-10	-8
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		22	27	5,56	5,2	6,24	6,2	-18,5	-5
69	CAPRILE	cagliari	P	P		17	27	4,96	5,1	6,33	6,1	-37	-5
1	CARNESECCHI	atalanta	P	P		24	27	5,83	6,6	6,5	6,8	-18	-1
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA		P	P	*	1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		11	15	5	5,1	6,23	6,3	-18,5	-6
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		16	27	4,83	4,6	6,24	6,2	-38	-8
458	DEVIS VASQUEZ		P	P	*	1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		19	23	5,26	3,88	6,24	5,88	-22,5	-8
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		18	27	5,24	4,9	6,39	6,3	-31	-7
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA		P	P	*	1							
1676	ISRAEL	torino	P	P		3	9	4,11		6,17	-1	-18,5	-10,5
139	LEALI	genoa	P	P		13	20	4,82		6,23	-1	-28	-4,5
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		24	26	5,87	5,6	6,46	6,2	-15,5	-3
418	MANDAS		P	P	*	1							
285	MARCONE		P	P	*	1							
106	MARTINELLI		P	P	*	1							
166	MARTINEZ JO.	inter	P	P		1	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		7	8	4,75	5	6,06	6,17	-10,5	-8,5
1091	MILINKOVIC SAVIC	napoli	P	P		19	19	5,68	4,25	6,26	6,25	-11	-8
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		13	24	4,58	5,13	6,04	6,13	-35	-5
286	MORETTA		P	P	*	1							
6061	MOTTA	lazio	P	P		1							
4144	MURIC	sassuolo	P	P		16	26	5	4,8	6,38	6,4	-36	-8
763	NAVA	cremonese	P	P		1							
1082	NICOLAS	pisa	P	P		2	3	4,83	4,83	6,17	6,17	-4	-4
4013	NUNZIANTE	udinese	P	P		1							
653	OKOYE	udinese	P	P		16	19	5,05	5,4	6,16	6,4	-21	-5
654	PADELLI	udinese	P	P		1	2	5,25		6,25	-1	-2	-2
1083	PALEARI	torino	P	P		11	18	4,58	4,9	6,22	6,3	-29,5	-7
534	PASSADOR		P	P	*	1							
4012	PENEV	lecce	P	P		1							
