ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		14	13	5,42	5,8	6,42	6,6	-13	-4
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		20	16	5,5	5	6,28	6,3	-12,5	-5,5
69	CAPRILE	cagliari	P	P		16	17	5	5,1	6,44	6,5	-24,5	-7
1	CARNESECCHI	atalanta	P	P		19	17	5,41	5,3	6,35	6,3	-16	-5
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA	verona	P	P		1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		5	5	5,4	5,4	6,3	6,3	-4,5	-3,5
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		16	17	4,82	4,1	6,24	5,9	-24	-9
458	DEVIS VASQUEZ	roma	P	P		1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		20	15	5,37	5,5	6,27	6,25	-13,5	-4
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		17	16	5,16	5,5	6,38	6,5	-19,5	-3
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA	parma	P	P		1							
1676	ISRAEL	torino	P	P		8	9	4,11	3,5	6,17	6	-18,5	-10,5
139	LEALI	genoa	P	P		13	16	4,63	4,75	6,22	6,25	-25,5	-9
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		22	15	5,93	6,4	6,43	6,7	-7,5	-4,5
418	MANDAS	lazio	P	P		1							
285	MARCONE		P	P	*	1							
106	MARTINELLI	fiorentina	P	P		1							
166	MARTINEZ JO.	inter	P	P		2	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		11	4	5,13		6,13	-1	-4	-4
1091	MILINKOVIC SAVIC	napoli	P	P		21	12	6,13	5,8	6,38	6,4	-3	-2
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		13	16	4,69	4,3	6,06	6,1	-22	-7
286	MORETTA		P	P	*	1							
4144	MURIC	sassuolo	P	P		14	16	5,09	4,7	6,38	6,2	-20,5	-7,5
763	NAVA	cremonese	P	P		1							
1082	NICOLAS	pisa	P	P		1							
4013	NUNZIANTE	udinese	P	P		1							
653	OKOYE	udinese	P	P		12	10	4,8	5	5,9	5,75	-11	-3
654	PADELLI	udinese	P	P		1	1	5	5	6	6	-1	-1
1083	PALEARI	torino	P	P		7	8	5	5,67	6,25	6,33	-10	-7
534	PASSADOR		P	P	*	1							
4012	PENEV	lecce	P	P		1							
350	PERILLI	verona	P	P		1							
209	PERIN	juventus	P	P		3	2	5,25	5,5	6,25	6,5	-2	-2
4261	PESSINA	bologna	P	P		2	1	6,5		6,5	-1	0	0
655	PIANA		P	P	*	1							
210	PINSOGLIO	juventus	P	P		1							
535	POPA	torino	P	P		1							
419	PROVEDEL	lazio	P	P		22	17	5,76	5,9	6,47	6,5	-12	-3
753	RADUNOVIC	cagliari	P	P		1							
167	RAIMONDI		P	P	*	1							
32	RAVAGLIA	bologna	P	P		6	6	5,25	5	6,33	6,3	-6,5	-6,5
420	RENZETTI		P	P	*	1							
1081	RINALDI	parma	P	P		1							
2	ROSSI	atalanta	P	P		1							
605	RUSSO		P	P	*	1							
424	SAMOOJA	lecce	P	P		1							
487	SARO		P	P	*	1							
606	SATALINO	sassuolo	P	P		1							
656	SAVA	udinese	P	P		5	7	4		6,07	5	-14,5	-12
1092	SCUFFET	pisa	P	P		4	2	4,5	4,5	6	6	-3	-3
1089	SEMPER	pisa	P	P		12	15	4,9	4,67	6,3	6,33	-21	-7
140	SIEGRIST	genoa	P	P		1							
4143	SILVESTRI	cremonese	P	P		3	4	4,5		6,25	-1	-7	-7
33	SKORUPSKI	bologna	P	P		14	9	5,17		6,11	-1	-8,5	-3
1058	SOMMARIVA	genoa	P	P		1	2	4	4	6	6	-4	-4
168	SOMMER	inter	P	P		20	14	5,36	5,8	6,29	6,2	-13	-1
3	SPORTIELLO	atalanta	P	P		1							
287	SUZUKI	parma	P	P		14	11	5,27		6,32	-1	-11,5	-7
4262	SVETOZAROV ILIEV		P	P	*	1							
318	SVILAR	roma	P	P		23	17	5,82	5,6	6,47	6,6	-11	-5
1072	TERRACCIANO PI.	milan	P	P		2	2	6,25		6,25	-1	0	0
749	THOMAS GILLIER		P	P	*	1							
489	TOMMASI		P	P	*	1							
351	TONIOLO	verona	P	P		1							
5802	TORNQVIST	como	P	P		1							
460	TORRIANI	milan	P	P		1							
607	TURATI	sassuolo	P	P		3	1	4		6	-1	-2	-2
531	TURI		P	P	*	1							
357	VIGORITO	como	P	P		1							
570	VUKOVIC	pisa	P	P		1							
608	ZACCHI	sassuolo	P	P		1							
1469	ZELEZNY	roma	P	P		1							
657	ABANKWAH		D	D	*	3							
319	ABDUL HAMID		D	E	*	8							
169	ACERBI	inter	D	D		12	10	6,1	6,5	6,1	6,33	0	0,5
425	ADDO		D	D	*	1							
4	AHANOR	atalanta	D	E		6	8	5,63	5,5	5,63	5,5	0	0
4463	AKANJI	inter	D	D		12	14	6,04	6	6,14	6,2	-1,5	-1
4487	ALBIOL	pisa	D	D		5	5	5,7	5,25	5,8	5,5	-0,5	-0,5
1090	AMORAN		D	D	*	1							
320	ANGELINO	roma	D	E		3	5	5,6		5,7	-1	-0,5	-0,5
571	ANGORI	pisa	D	E		7	14	5,68	5,5	5,64	5,6	0,5	-0,5
727	ANTOLINI		D	D	*	1							
4110	ATHEKAME	milan	D	E		6	5	6,3	6	5,9	6	2	2
81	AZZI		D	E	*	4							
5	BAKKER	atalanta	D	E		1							
288	BALOGH		D	D	*	5							
141	BANI		D	D	*	7							
490	BARBIERI	cremonese	D	E		8	12	5,83	5,9	5,92	6	-1	-0,5
1073	BARTESAGHI	milan	D	E		12	12	6,63	7,7	6,17	6,5	5,5	6
426	BASCHIROTTO	cremonese	D	D		13	17	6,38	6,1	6,06	6,1	5,5	0
170	BASTONI	inter	D	D		17	15	6,63	6,2	6,3	6,3	5	-0,5
4224	BELGHALI	verona	D	E		12	15	6,2	7,75	5,97	6,38	3,5	5,5
4332	BELLA-KOTCHAP	verona	D	D		6	10	5,65	5,63	5,7	5,63	-0,5	0
13	BELLANOVA	atalanta	D	E		8	12	5,83	5,5	5,75	5,5	1	1
4281	BERNASCONI	atalanta	D	E		4	6	5,67	5,5	5,75	5,67	-0,5	-0,5
658	BERTOLA	udinese	D	D		8	13	5,81	5,9	5,81	5,7	0	1
572	BERUATTO		D	E	*	3							
34	BEUKEMA	napoli	D	D		12	8	6,38	5,88	6,13	6,13	2	-1
728	BIANAY BALCOT		D	D	*	1							
491	BIANCHETTI	cremonese	D	D		9	15	5,87	6,17	5,8	6	1	0,5
536	BIRAGHI	torino	D	E		4	8	5,56		5,56	-1	0	0
