ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		14	25	4,92	3,9	6,28	6,1	-34	-11
6025	BIJLOW	genoa	P	P		15	8	5	5,9	6,38	6,5	-11	-3
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		22	29	5,53	5,2	6,24	6,2	-20,5	-5
69	CAPRILE	cagliari	P	P		15	29	4,84	4,3	6,29	5,9	-42	-8
1	CARNESECCHI	atalanta	P	P		23	29	5,74	5,1	6,47	6,3	-21	-6
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA		P	P	*	1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		12	16	5,09	6	6,25	6,5	-18,5	-2
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		17	29	4,9	5,3	6,24	6,3	-39	-5
458	DEVIS VASQUEZ		P	P	*	1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		18	23	5,26	3	6,24	5,5	-22,5	-8
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		18	29	5,22	4,7	6,4	6,3	-34	-8
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA		P	P	*	1							
1676	ISRAEL	torino	P	P		3	9	4,11		6,17	-1	-18,5	-10,5
139	LEALI	genoa	P	P		11	20	4,82		6,23	-1	-28	-4,5
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		24	28	5,88	5,8	6,46	6,4	-16,5	-3
418	MANDAS		P	P	*	1							
285	MARCONE		P	P	*	1							
106	MARTINELLI		P	P	*	1							
166	MARTINEZ JO.	inter	P	P		1	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		8	9	4,78	5	6,06	6	-11,5	-7,5
1091	MILINKOVIC SAVIC	napoli	P	P		19	20	5,68	4,67	6,28	6,33	-12	-7
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		13	26	4,58	4,6	6,04	6	-38	-7
286	MORETTA		P	P	*	1							
6061	MOTTA	lazio	P	P		4	2	5,75	5,75	6,5	6,5	-1,5	-1,5
4144	MURIC	sassuolo	P	P		16	28	4,93	5,3	6,32	6,3	-39	-5
763	NAVA	cremonese	P	P		1							
1082	NICOLAS	pisa	P	P		2	5	4,3	4,3	6,1	6,1	-9	-9
4013	NUNZIANTE	udinese	P	P		1							
653	OKOYE	udinese	P	P		16	21	5	5	6,17	6,3	-24,5	-6,5
654	PADELLI	udinese	P	P		1	2	5,25		6,25	-1	-2	-2
1083	PALEARI	torino	P	P		11	20	4,6	4,6	6,23	6,2	-32,5	-8
534	PASSADOR		P	P	*	1							
4012	PENEV	lecce	P	P		1							
350	PERILLI	verona	P	P		1	3	3,67		6	-1	-7	-7
209	PERIN	juventus	P	P		4	6	5,25	5,33	6,25	6,33	-6	-5
