ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		17	33	5,09	5,7	6,3	6,3	-40	-3
6025	BIJLOW	genoa	P	P		16	16	5,03	5,3	6,31	6,2	-20,5	-4,5
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		23	37	5,54	5,8	6,23	6,2	-25,5	-2
69	CAPRILE	cagliari	P	P		16	37	4,84	4,7	6,26	6,2	-52,5	-7,5
1	CARNESECCHI	atalanta	P	P		22	37	5,65	5	6,43	6,4	-29	-7
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA		P	P	*	1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		9	16	5,09		6,25	-1	-18,5	-2
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		19	37	5,08	5,3	6,3	6,3	-45	-5
6318	DE MARZI	roma	P	P		1							
458	DEVIS VASQUEZ		P	P	*	1							
165	DI GENNARO	inter	P	P		1	1	5	5	6	6	-1	-1
207	DI GREGORIO	juventus	P	P		20	30	5,52	5,5	6,27	6,1	-22,5	-3
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		18	37	5,15	5,4	6,36	6,4	-45	-5
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1	1	4,5	4,5	6,5	6,5	-2	-2
208	GAROFANI		P	P	*	1							
6319	GIACOMONE	lazio	P	P		1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA		P	P	*	1							
1676	ISRAEL	torino	P	P		1	9	4,11		6,17	-1	-18,5	-10,5
139	LEALI	genoa	P	P		6	21	4,83	5	6,21	6	-29	-3,5
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
