ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		15	20	5,18	4,6	6,33	6	-23	-7
6025	BIJLOW	genoa	P	P		10	3	3,5	3,5	6,17	6,17	-8	-8
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		23	23	5,63	6,6	6,24	6,3	-14	-1,5
69	CAPRILE	cagliari	P	P		16	24	4,96	4,9	6,38	6,2	-34	-6,5
1	CARNESECCHI	atalanta	P	P		24	24	5,88	7,2	6,5	7	-15	1
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA		P	P	*	1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		9	12	4,79	4,2	6,17	6	-16,5	-9
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		16	24	4,81	4,4	6,23	6	-34	-8
458	DEVIS VASQUEZ		P	P	*	1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		21	21	5,48	5,75	6,31	6,5	-17,5	-3
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		19	24	5,33	5,3	6,42	6,3	-26	-5
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA		P	P	*	1							
1676	ISRAEL	torino	P	P		5	9	4,11		6,17	-1	-18,5	-10,5
139	LEALI	genoa	P	P		15	20	4,82	6,25	6,23	6,25	-28	-4,5
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		24	22	5,95	5,8	6,52	6,6	-12,5	-2,5
418	MANDAS		P	P	*	1							
285	MARCONE		P	P	*	1							
106	MARTINELLI		P	P	*	1							
166	MARTINEZ JO.	inter	P	P		1	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		7	7	4,71	4,17	6,07	6	-9,5	-9,5
1091	MILINKOVIC SAVIC	napoli	P	P		20	17	5,85	5,25	6,26	6,25	-7	-4
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		13	21	4,57	5,75	6,05	6,25	-31	-9
286	MORETTA		P	P	*	1							
6061	MOTTA	lazio	P	P		1							
4144	MURIC	sassuolo	P	P		14	23	4,85	4,1	6,33	6	-34	-9,5
763	NAVA	cremonese	P	P		1							
1082	NICOLAS	pisa	P	P		1							
4013	NUNZIANTE	udinese	P	P		1							
653	OKOYE	udinese	P	P		14	16	5	5,2	6,13	6,4	-18	-6
654	PADELLI	udinese	P	P		1	2	5,25		6,25	-1	-2	-2
1083	PALEARI	torino	P	P		10	15	4,6	3,8	6,23	6,2	-24,5	-12
534	PASSADOR		P	P	*	1							
4012	PENEV	lecce	P	P		1							
350	PERILLI	verona	P	P		1	3	3,67	3,67	6	6	-7	-7
209	PERIN	juventus	P	P		2	3	5,17	5	6,17	6	-3	-3
4261	PESSINA	bologna	P	P		1	1	6,5		6,5	-1	0	0
655	PIANA		P	P	*	1							
210	PINSOGLIO	juventus	P	P		1							
535	POPA		P	P	*	1							
419	PROVEDEL	lazio	P	P		21	24	5,58	5,5	6,44	6,4	-20,5	-4,5
753	RADUNOVIC		P	P	*	1							
167	RAIMONDI		P	P	*	1							
32	RAVAGLIA	bologna	P	P		7	13	4,46	3,63	6,27	6,13	-23,5	-12
420	RENZETTI		P	P	*	1							
1081	RINALDI	parma	P	P		1	1	6,5		7	-1	-0,5	-0,5
2	ROSSI	atalanta	P	P		1							
605	RUSSO		P	P	*	1							
424	SAMOOJA	lecce	P	P		1							
487	SARO		P	P	*	1							
606	SATALINO	sassuolo	P	P		1							
656	SAVA	udinese	P	P		2	7	4		6,07	-1	-14,5	-12
1092	SCUFFET	pisa	P	P		4	7	4	3,8	6,14	6,2	-15	-12
