ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		15	19	5,24	4,6	6,34	6	-21	-7
6025	BIJLOW	genoa	P	P		11	2	3,75	3,75	6,25	6,25	-5	-5
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		23	23	5,63	6,6	6,24	6,3	-14	-1,5
69	CAPRILE	cagliari	P	P		17	23	5	4,9	6,39	6,2	-32	-6,5
1	CARNESECCHI	atalanta	P	P		24	23	5,89	7,4	6,5	7	-14	2
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA		P	P	*	1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		7	11	4,64	3,8	6,14	6	-16,5	-11
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		16	23	4,85	4,6	6,24	6,2	-32	-8
458	DEVIS VASQUEZ		P	P	*	1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		21	20	5,55	6,38	6,33	6,63	-15,5	-2
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		19	23	5,35	5,1	6,43	6,3	-25	-6
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA		P	P	*	1							
1676	ISRAEL	torino	P	P		5	9	4,11		6,17	-1	-18,5	-10,5
139	LEALI	genoa	P	P		15	20	4,82	6,17	6,23	6,67	-28	-4,5
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		24	22	5,95	5,8	6,52	6,6	-12,5	-2,5
418	MANDAS		P	P	*	1							
285	MARCONE		P	P	*	1							
106	MARTINELLI		P	P	*	1							
166	MARTINEZ JO.	inter	P	P		1	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		7	6	4,92	4,5	6,08	6	-7	-7
1091	MILINKOVIC SAVIC	napoli	P	P		21	17	5,85	4,83	6,26	6,17	-7	-4
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		12	20	4,48	4,5	6,03	6	-31	-9
286	MORETTA		P	P	*	1							
6061	MOTTA	lazio	P	P		1							
4144	MURIC	sassuolo	P	P		16	22	5,05	4,8	6,36	6,3	-29	-7,5
