ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		15	27	4,96	4	6,3	6	-36	-10
6025	BIJLOW	genoa	P	P		14	10	4,8	4,8	6,3	6,2	-15	-7
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		23	31	5,58	5,7	6,24	6,3	-20,5	-3
69	CAPRILE	cagliari	P	P		15	31	4,81	4,1	6,26	5,9	-45	-9
1	CARNESECCHI	atalanta	P	P		23	31	5,77	5,1	6,45	6,1	-21	-5
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA		P	P	*	1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		12	16	5,09	6	6,25	6,5	-18,5	-2
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		18	31	4,98	5,4	6,27	6,4	-40	-5
6318	DE MARZI	roma	P	P		1							
458	DEVIS VASQUEZ		P	P	*	1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		18	24	5,48	10,5	6,29	7,5	-19,5	-5
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		17	31	5,15	4,2	6,37	6,2	-38	-10
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
6319	GIACOMONE	lazio	P	P		1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA		P	P	*	1							
1676	ISRAEL	torino	P	P		2	9	4,11		6,17	-1	-18,5	-10,5
139	LEALI	genoa	P	P		9	20	4,82		6,23	-1	-28	-4,5
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		23	30	5,8	5,6	6,45	6,4	-19,5	-4
418	MANDAS		P	P	*	1							
285	MARCONE		P	P	*	1							
106	MARTINELLI		P	P	*	1							
166	MARTINEZ JO.	inter	P	P		1	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		8	9	4,78	5	6,06	6	-11,5	-7,5
1091	MILINKOVIC SAVIC	napoli	P	P		20	22	5,73	6	6,27	6,33	-12	-5
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		14	28	4,61	4,6	6,04	6	-40	-7
286	MORETTA		P	P	*	1							
6061	MOTTA	lazio	P	P		7	4	6,63	6,63	6,5	6,5	0,5	0,5
4144	MURIC	sassuolo	P	P		18	30	5,12	6	6,38	6,6	-38	-3
763	NAVA	cremonese	P	P		1							
1082	NICOLAS	pisa	P	P		1	6	3,58	3	5,92	5,75	-14	-12
4013	NUNZIANTE	udinese	P	P		1							
653	OKOYE	udinese	P	P		17	23	5,13	5,6	6,2	6,3	-24,5	-3,5
654	PADELLI	udinese	P	P		1	2	5,25		6,25	-1	-2	-2
